question,subject
What is a bloom filter?,DSA
Difference between Kruskal's and Prim's algorithms.,DSA
What is a hash map?,DSA
Explain the concept of the A* search algorithm.,DSA
What is a quadtree?,DSA
Difference between counting sort and radix sort.,DSA
What is a binary indexed tree?,DSA
Explain the concept of the Rabin-Karp algorithm.,DSA
What is a cache?,Computer Architecture
Explain the concept of pipelining in processors.,Computer Architecture
What is the difference between RISC and CISC architectures?,Computer Architecture
Describe the memory hierarchy in a computer system.,Computer Architecture
What is virtual memory? How does it work?,Computer Architecture
Explain the concept of cache coherence.,Computer Architecture
What is a TLB (Translation Lookaside Buffer)?,Computer Architecture
Difference between SRAM and DRAM.,Computer Architecture
What is an interrupt in computer architecture?,Computer Architecture
Explain the concept of superscalar architecture.,Computer Architecture
What is a multicore processor?,Computer Architecture
Difference between Harvard and Von Neumann architectures.,Computer Architecture
What is branch prediction?,Computer Architecture
Explain the concept of SIMD and MIMD.,Computer Architecture
What is a GPU?,Computer Architecture
Difference between big-endian and little-endian.,Computer Architecture
What is an ALU?,Computer Architecture
Explain the concept of out-of-order execution.,Computer Architecture
What is a register file?,Computer Architecture
Difference between synchronous and asynchronous circuits.,Computer Architecture
What is a memory-mapped I/O?,Computer Architecture
Explain the concept of speculative execution.,Computer Architecture
What is a DMA controller?,Computer Architecture
Difference between hardwired and microprogrammed control units.,Computer Architecture
What is a clock cycle in a processor?,Computer Architecture
Explain the concept of instruction-level parallelism.,Computer Architecture
What is a cache hit and cache miss?,Computer Architecture
Difference between write-through and write-back cache policies.,Computer Architecture
What is a system bus?,Computer Architecture
Explain the concept of virtualization in computer architecture.,Computer Architecture
What is a floating-point unit?,Computer Architecture
Difference between physical and virtual addresses.,Computer Architecture
What is a control unit in a CPU?,Computer Architecture
Explain the concept of memory interleaving.,Computer Architecture
What is a page table?,Computer Architecture
Difference between static and dynamic RAM.,Computer Architecture
What is a barrel shifter?,Computer Architecture
Explain the concept of instruction pipelining.,Computer Architecture
What is a cache line?,Computer Architecture
Difference between direct-mapped and set-associative cache.,Computer Architecture
What is a branch target buffer?,Computer Architecture
Explain the concept of memory bandwidth.,Computer Architecture
What is a register window?,Computer Architecture
Difference between EPIC and VLIW architectures.,Computer Architecture
What is a memory controller?,Computer Architecture
Explain the concept of clock skew.,Computer Architecture
What is a software development life cycle (SDLC)?,Software Engineering
Explain the waterfall model in software engineering.,Software Engineering
What is agile methodology?,Software Engineering
Difference between verification and validation.,Software Engineering
What is a use case diagram?,Software Engineering
Explain the concept of software testing.,Software Engineering
What is version control?,Software Engineering
Difference between functional and non-functional requirements.,Software Engineering
What is refactoring?,Software Engineering
Explain the concept of continuous integration.,Software Engineering
What is a class diagram in UML?,Software Engineering
Difference between black-box and white-box testing.,Software Engineering
What is pair programming?,Software Engineering
Explain the concept of risk management in software projects.,Software Engineering
What is a software requirement specification (SRS)?,Software Engineering
Difference between unit testing and integration testing.,Software Engineering
What is DevOps?,Software Engineering
Explain the concept of software metrics.,Software Engineering
What is a sequence diagram?,Software Engineering
Difference between spiral and iterative models.,Software Engineering
What is code review?,Software Engineering
Explain the concept of test-driven development (TDD).,Software Engineering
What is a state diagram?,Software Engineering
Difference between alpha and beta testing.,Software Engineering
What is a build tool?,Software Engineering
Explain the concept of software architecture.,Software Engineering
What is a Gantt chart?,Software Engineering
Difference between smoke and sanity testing.,Software Engineering
What is a mock object in testing?,Software Engineering
Explain the concept of user stories in agile.,Software Engineering
What is a deployment diagram?,Software Engineering
Difference between Scrum and Kanban.,Software Engineering
What is static code analysis?,Software Engineering
Explain the concept of technical debt.,Software Engineering
What is a component diagram?,Software Engineering
Difference between system testing and acceptance testing.,Software Engineering
What is a burndown chart?,Software Engineering
Explain the concept of configuration management.,Software Engineering
What is a collaboration diagram?,Software Engineering
Difference between manual and automated testing.,Software Engineering
What is a traceability matrix?,Software Engineering
Explain the concept of the V-model in software testing.,Software Engineering
What is a package diagram?,Software Engineering
Difference between defect and failure in software testing.,Software Engineering
What is continuous deployment?,Software Engineering
Explain the concept of software prototyping.,Software Engineering
What is the OSI model?,Computer Networks
Explain the difference between TCP and UDP.,Computer Networks
What is an IP address?,Computer Networks
Describe the concept of subnetting.,Computer Networks
What is DNS? How does it work?,Computer Networks
Explain the difference between HTTP and HTTPS.,Computer Networks
What is a router?,Computer Networks
Difference between LAN, MAN, and WAN.,Computer Networks
What is a firewall?,Computer Networks
Explain the concept of NAT (Network Address Translation).,Computer Networks
What is a MAC address?,Computer Networks
Difference between IPv4 and IPv6.,Computer Networks
What is a VPN?,Computer Networks
Explain the concept of packet switching.,Computer Networks
What is ARP?,Computer Networks
Difference between symmetric and asymmetric encryption.,Computer Networks
What is a switch?,Computer Networks
Explain the concept of congestion control in networks.,Computer Networks
What is ICMP?,Computer Networks
Difference between circuit switching and packet switching.,Computer Networks
What is a proxy server?,Computer Networks
Explain the concept of quality of service (QoS).,Computer Networks
What is BGP?,Computer Networks
Difference between unicast, multicast, and broadcast.,Computer Networks
What is a socket?,Computer Networks
Explain the concept of MPLS.,Computer Networks
What is DHCP?,Computer Networks
Difference between FTP and SFTP.,Computer Networks
What is a network topology?,Computer Networks
Explain the concept of VLAN.,Computer Networks
What is SSH?,Computer Networks
Difference between hub, switch, and router.,Computer Networks
What is RTP?,Computer Networks
Explain the concept of load balancing.,Computer Networks
What is a ping?,Computer Networks
Difference between TCP/IP and OSI models.,Computer Networks
What is a network protocol?,Computer Networks
Explain the concept of port forwarding.,Computer Networks
What is SMTP?,Computer Networks
Difference between full-duplex and half-duplex communication.,Computer Networks
What is a gateway?,Computer Networks
Explain the concept of wireless networking.,Computer Networks
What is POP3?,Computer Networks
Difference between IMAP and POP3.,Computer Networks
What is a network bridge?,Computer Networks
Explain the concept of network security.,Computer Networks
What is SNMP?,Computer Networks
Difference between CSMA/CD and CSMA/CA.,Computer Networks
What is a repeater?,Computer Networks
Explain the concept of cloud networking.,Computer Networks
